"ML Catalog Number",Format,"Scientific Name","Common Name","Background Species",Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,"Elevation (m)",Age/Sex,Behaviors,Playback,Collected,"Specimen ID","Home Archive Catalog Number",Recorder,Microphone,Accessory,"Partner Institution","eBird Checklist ID",Unconfirmed?,"Air Temp(ºC)","Water Temp(ºC)","Media notes","Observation Details",Class,Order,Family,"Parent Species","eBird Species Code","Taxon Category","Taxonomic Sort","Recordist 2 Display Name","Recordist 2 Profile URL","Average Community Rating","Number of Ratings","Asset State","Asset Tags","Contributor Profile URL","Original Image Height","Original Image Width","Specimen Page URL","eBird Checklist URL","ebird Species URL",isInternalUser,mediaDownloadUrl,report_as
33842721,Audio,"Gavia immer","Common Loon",,"Warren Lynn",9/14/2012,2012,9,14,1000,"United States",US-WI-085,Wisconsin,Oneida,"Moen Lake Chain (forest and lakes)",45.6441,-89.2886,,Adult,"Call; Song","Not Used",,,,"Nikon digital camera","in camera mic",none,,S30025053,,,,"While I only saw one loon, I did make this recording of two loons calling back and forth to each other across the lake.","swimming in channel between lakes",,,,"Gavia immer",comloo,Species,6547.0,,,4.954128440366972,109,committed,no_playback,"https://ebird.org/profile/NDM1Mzc5",,,"https://macaulaylibrary.org/asset/33842721","https://ebird.org/view/checklist/S30025053","https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
107964,Audio,"Gavia immer","Common Loon",,"Steven R. Pantle",5/30/1992,1992,5,30,2100,"United States",US-NY-041,"New York",Hamilton,"Mason Lake",43.6,-74.42,547,Unknown – 1,,"Not Used",,,,"NAGRA IV-S","Sennheiser MKH 104",,,,,,,"NOTES: Call: Wail calls from a single individual. Habitat: Lake.",,,,,"Gavia immer",comloo,Species,6547.0,,,4.909090909090909,55,committed,"archive; no_playback",,,,"https://macaulaylibrary.org/asset/107964",,"https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
61311,Audio,"Gavia immer","Common Loon",,"David C. Evers",5/21/1993,1993,5,21,0,"United States",US-MI,Michigan,,"Seney National Wildlife Refuge",,,,,,Unspecified,,,,"SONY TC-D5 PRO II",,,,,,,,,,,,,"Gavia immer",comloo,Species,6547.0,,,4.8,20,committed,archive,,,,"https://macaulaylibrary.org/asset/61311",,"https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
158563011,Audio,"Gavia immer","Common Loon",,"Jocelyn Lauzon",5/13/2019,2019,5,13,1700,Canada,CA-QC-RM,Quebec,Rimouski-Neigette,"Lac Chic-Chocs",48.2635,-68.3397,,Adult,Song,"Not Used",,,,MixPre/M10,"AT3031 (2x)","ORTF (large)",,S56250022,,,,"Song at 2:30AM.","2 couples on 2 adjacent small lakes.",,,,"Gavia immer",comloo,Species,6547.0,,,5.0,11,committed,no_playback,"https://ebird.org/profile/MTA1MTkxMA",,,"https://macaulaylibrary.org/asset/158563011","https://ebird.org/view/checklist/S56250022","https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
61300,Audio,"Gavia immer","Common Loon",,"Charles Walcott",5/13/1993,1993,5,13,630,"United States",US-MI,Michigan,,"Seney National Wildlife Refuge",,,,"Adult Male – 1",,Used,,,,"SONY TC-D5 PRO II",,,,,,,,"NOTES: Pool D. Response to playback: Normal song.",,,,,"Gavia immer",comloo,Species,6547.0,,,5.0,10,committed,"archive; playback",,,,"https://macaulaylibrary.org/asset/61300",,"https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
197039,Audio,"Gavia immer","Common Loon",,"Bob McGuire",5/3/2011,2011,5,3,600,Canada,CA-ON,Ontario,,"Algonquin Provincial Park; Lake Opeongo",45.7072,-78.4074,,Unknown – 1,Call,"Not Used",,,,"Sound Devices 702","Telinga Pro 6",,,,,,,,,,,,"Gavia immer",comloo,Species,6547.0,,,5.0,8,committed,"archive; no_playback","https://ebird.org/profile/NTIzMjI",,,"https://macaulaylibrary.org/asset/197039",,"https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
53186,Audio,"Gavia immer","Common Loon",,"Steven R. Pantle",7/1/1991,1991,7,,0,"United States",US-NY,"New York",,"Adirondack Mountains; Mason Lake",,,,,"Call; Courtship, Display, or Copulation","Not Used",,,,"NAGRA IV-S","Sennheiser MKH 106",,,,,,,"NOTES: (RRN ##91-24, 25-1. Time: 2130-0230. Relative Time: Sunset + 0-4 hours. Day: 11 & 12, month - July, 1991. Breeding Status: Breeding. Cover Density: None.)*This cut was copied twice for the LNS collection, once in stereo and once in mono. They both have the same LNS number and are clearly marked on the reel card.Only the stereo copy was digitized, MJA 28 June 2005. Other Behaviors: Mate. Habitat: Forest, Coniferous Forest, Pond.",,,,,"Gavia immer",comloo,Species,6547.0,,,4.7,10,committed,"archive; no_playback",,,,"https://macaulaylibrary.org/asset/53186",,"https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
61309,Audio,"Gavia immer","Common Loon",,"Charles Walcott",5/16/1993,1993,5,16,930,"United States",US-MI,Michigan,,"Seney National Wildlife Refuge",,,,"Adult Male – 1",,Used,,,,"SONY TC-D5 PRO II",,,,,,,,"NOTES: T-2 west.
Hoots at beginning and in the middle. Response to playback: Normal song.",,,,,"Gavia immer",comloo,Species,6547.0,,,4.636363636363637,11,committed,"archive; playback",,,,"https://macaulaylibrary.org/asset/61309",,"https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
108763751,Audio,"Gavia immer","Common Loon",,"Jeff Ellerbusch",7/21/2018,2018,7,21,427,"United States",US-ME-021,Maine,Piscataquis,"Davis Pond",45.2393,-69.4165,,Adult,Call,"Not Used",,,,"Marantz PMD661 MKII","Sennheiser ME67",,,S47450839,,,,,,,,,"Gavia immer",comloo,Species,6547.0,,,4.777777777777778,9,committed,no_playback,,,,"https://macaulaylibrary.org/asset/108763751","https://ebird.org/view/checklist/S47450839","https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
105215211,Audio,"Gavia immer","Common Loon",,"Blair Dudeck",6/22/2018,2018,6,22,443,Canada,CA-AB-ST,Alberta,"Fort McMurray","Engstrom Lake",56.1957,-110.9016,,Unknown,,Unspecified,,,,,,,,S46720512,,,,,,,,,"Gavia immer",comloo,Species,6547.0,,,4.384615384615385,13,committed,,"https://ebird.org/profile/MzMwNzYw",,,"https://macaulaylibrary.org/asset/105215211","https://ebird.org/view/checklist/S46720512","https://ebird.org/species/comloo",false,"https://test.cdn.download.ams.birds.cornell.edu/api/v1/asset/",comloo
